Batch Size,Parameter,Order,L2 Hit Rate(%),Kernel Duration (us)
8192,t1 = 1,0,83.89,9430.07
8192,t1 = 1,1,85.35,9334.3
8192,t1 = 1,2,73.38,9292.73
8192,t1 = 1,3,74.47,9311.89
8192,t1 = 2,0,87.49,9278.42
8192,t1 = 2,1,88.00,9276.25
8192,t1 = 2,2,85.87,9200.6
8192,t1 = 2,3,85.19,9228.13
8192,t1 = 4,0,80.38,9286.45
8192,t1 = 4,1,78.92,9272.85
8192,t1 = 4,2,87.80,9228.55
8192,t1 = 4,3,89.24,9201.58
8192,t1 = 8,0,72.21,9868.1
8192,t1 = 8,1,72.56,9821.81
8192,t1 = 8,2,79.75,12862.4
8192,t1 = 8,3,78.32,12197.8
8192,t1 = 16,0,54.13,13076.2
8192,t1 = 16,1,56.24,12868.2
8192,t1 = 16,2,74.24,14905.4
8192,t1 = 16,3,74.30,14856.6
8192,t1 = 32,0,51.06,13748.4
8192,t1 = 32,1,51.09,13692.9
8192,t1 = 32,2,73.78,15084.7
8192,t1 = 32,3,73.80,15000.2
8192,outer_width = 2, inner_width = 1,4,50.89,13668.4
8192,outer_width = 4, inner_width = 2,4,50.78,13709.6
8192,outer_width = 8, inner_width = 4,4,73.73,15008.7
8192,outer_width = 16, inner_width = 8,4,73.73,15030.5
8192,outer_width = 32, inner_width = 16,4,73.53,9233.04
16384,t1 = 1,0,92.10,18429.8
16384,t1 = 1,1,92.38,18605.3
16384,t1 = 1,2,86.36,18560
16384,t1 = 1,3,87.12,18536.6
16384,t1 = 2,0,92.55,18547.7
16384,t1 = 2,1,93.81,18538.6
16384,t1 = 2,2,92.32,18422.5
16384,t1 = 2,3,92.79,18455
16384,t1 = 4,0,92.21,18496.1
16384,t1 = 4,1,91.16,18517.3
16384,t1 = 4,2,93.54,18415
16384,t1 = 4,3,94.07,18580.1
16384,t1 = 8,0,86.05,19566.3
16384,t1 = 8,1,85.60,19153.6
16384,t1 = 8,2,90.89,21421.2
16384,t1 = 8,3,89.49,19450.9
16384,t1 = 16,0,78.80,21987.4
16384,t1 = 16,1,78.05,22000.2
16384,t1 = 16,2,87.14,23840.3
16384,t1 = 16,3,87.22,23914.4
16384,t1 = 32,0,75.73,23086.5
16384,t1 = 32,1,75.78,23029.4
16384,t1 = 32,2,86.83,24349.7
16384,t1 = 32,3,86.81,24213.3
16384,outer_width = 2, inner_width = 1,4,75.44,23008.4
16384,outer_width = 4, inner_width = 2,4,75.44,22934.3
16384,outer_width = 8, inner_width = 4,4,86.24,25060.9
16384,outer_width = 16, inner_width = 8,4,86.88,25024
16384,outer_width = 32, inner_width = 16,4,86.59,18850.6
32768,t1 = 1,0,95.78,36940.6
32768,t1 = 1,1,96.18,36703.6
32768,t1 = 1,2,93.37,36961.2
32768,t1 = 1,3,93.68,36897.3
32768,t1 = 2,0,96.91,36606.1
32768,t1 = 2,1,96.51,36814.8
32768,t1 = 2,2,96.20,36578.9
32768,t1 = 2,3,96.42,36724.7
32768,t1 = 4,0,95.69,36655.3
32768,t1 = 4,1,95.59,37351.6
32768,t1 = 4,2,97.10,37017.7
32768,t1 = 4,3,97.16,36750
32768,t1 = 8,0,92.95,37370.3
32768,t1 = 8,1,92.92,37319.7
32768,t1 = 8,2,94.37,39779.3
32768,t1 = 8,3,94.67,40265
32768,t1 = 16,0,88.96,40597.7
32768,t1 = 16,1,88.94,40430.1
32768,t1 = 16,2,93.55,42210
32768,t1 = 16,3,93.71,42114.5
32768,t1 = 32,0,87.80,41342.1
32768,t1 = 32,1,87.87,41345.4
32768,t1 = 32,2,93.50,43248.2
32768,t1 = 32,3,93.49,42607.9
32768,outer_width = 2, inner_width = 1,4,87.77,41475.9
32768,outer_width = 4, inner_width = 2,4,87.75,41105.8
32768,outer_width = 8, inner_width = 4,4,93.47,43327.5
32768,outer_width = 16, inner_width = 8,4,93.46,42537.1
32768,outer_width = 32, inner_width = 16,4,93.31,36701.2
65536,t1 = 1,0,97.98,73330.2
65536,t1 = 1,1,98.12,74038.6
65536,t1 = 1,2,96.68,73489.9
65536,t1 = 1,3,96.80,73053.5
65536,t1 = 2,0,98.29,73447.3
65536,t1 = 2,1,98.28,73190.6
65536,t1 = 2,2,98.19,75217.4
65536,t1 = 2,3,98.23,73697.6
65536,t1 = 4,0,97.85,73759.7
65536,t1 = 4,1,97.53,73251.6
65536,t1 = 4,2,98.56,73156.7
65536,t1 = 4,3,98.58,73229.1
65536,t1 = 8,0,96.55,74259.7
65536,t1 = 8,1,96.60,74223.8
65536,t1 = 8,2,97.43,76466.9
65536,t1 = 8,3,97.23,75748.1
65536,t1 = 16,0,94.35,77254.6
65536,t1 = 16,1,94.53,77480.3
65536,t1 = 16,2,96.74,78798.3
65536,t1 = 16,3,96.86,79452.2
65536,t1 = 32,0,93.98,78102.2
65536,t1 = 32,1,93.93,77728.2
65536,t1 = 32,2,96.70,79063.9
65536,t1 = 32,3,96.70,79626
65536,outer_width = 2, inner_width = 1,4,93.82,78277.3
65536,outer_width = 4, inner_width = 2,4,93.85,78293.8
65536,outer_width = 8, inner_width = 4,4,96.76,79050.9
65536,outer_width = 16, inner_width = 8,4,96.71,79022.4
65536,outer_width = 32, inner_width = 16,4,96.68,73187.2
