tileshape0,tileshape1,tileshape2,clustershape0,clustershape1,runtime(ms),GFLOPS,峰值性能占比,峰值性能989.4TFLOPS
128,256,16,4,1,1.53424,559882,0.565880332,
256,128,16,1,4,1.53476,559692,0.565688296,
256,128,32,1,1,1.53987,557836,0.563812412,
256,128,16,8,2,1.54616,555566,0.561518092,
128,256,128,1,2,1.54649,555447,0.561397817,
256,64,32,8,2,1.54788,554949,0.560894482,
256,64,32,2,2,1.54849,554729,0.560672125,
64,128,128,2,4,1.55083,553893,0.559827168,
256,64,64,8,2,1.56349,549407,0.555293107,
256,64,32,4,2,1.5659,548564,0.554441075,
64,256,32,2,1,1.57195,546451,0.552305438,
64,128,128,4,2,1.5728,546155,0.552006266,
128,256,128,2,1,1.57965,543788,0.549613907,
256,128,16,2,4,1.59131,539804,0.545587225,
64,128,128,8,2,1.60488,535237,0.540971296,
128,256,16,4,2,1.60579,534934,0.54066505,
128,64,64,2,8,1.62231,529488,0.535160703,
128,256,128,4,2,1.64404,522489,0.528086719,
128,64,64,1,8,1.65102,520282,0.525856074,
128,256,16,2,4,1.65943,517643,0.523188801,
256,64,32,1,2,1.66088,517191,0.522731959,
128,64,64,1,16,1.66505,515897,0.521424095,
256,128,128,1,2,1.67538,512716,0.518209016,
128,256,128,8,1,1.67634,512423,0.517912876,
64,128,128,8,1,1.67732,512123,0.517609662,
128,256,128,2,4,1.68197,510706,0.516177481,
64,128,128,4,1,1.68288,510432,0.515900546,
64,128,128,2,2,1.6848,509849,0.5153113,
128,64,64,4,4,1.68583,509538,0.514996968,
128,256,128,4,1,1.68654,509322,0.514778654,
128,64,64,2,4,1.6869,509214,0.514669497,
128,256,128,2,2,1.6938,507140,0.512573277,
256,128,16,4,2,1.6975,506036,0.511457449,
128,256,128,8,2,1.70401,504102,0.509502729,
128,128,128,1,1,1.72694,497407,0.502736002,
128,64,64,2,2,1.73165,496054,0.501368506,
128,256,128,2,8,1.73234,495857,0.501169396,
128,64,64,4,2,1.74219,493055,0.498337376,
128,256,128,16,1,1.75408,489712,0.494958561,
128,256,128,1,1,1.76786,485894,0.491099656,
256,128,128,2,1,1.77004,485297,0.49049626,
128,256,128,1,8,1.77172,484837,0.490031332,
64,64,64,2,8,1.79395,478828,0.483957954,
64,256,16,16,1,1.82853,469772,0.474804932,
64,256,64,1,8,1.84159,466440,0.471437235,
256,128,128,1,4,1.84288,466115,0.471108753,
128,64,128,1,4,1.84623,465268,0.470252678,
64,128,64,2,1,1.84911,464545,0.469521932,
64,128,128,2,1,1.85326,463504,0.46846978,
64,64,64,4,4,1.8622,461279,0.466220942,
256,128,128,2,4,1.86446,460719,0.465654942,
256,128,128,1,8,1.86742,459988,0.464916111,
128,256,16,2,2,1.86908,459581,0.46450475,
64,256,64,1,4,1.86961,459450,0.464372347,
256,128,128,2,2,1.87275,458681,0.463595108,
128,64,128,1,2,1.87516,458092,0.462999798,
64,128,128,16,1,1.88551,455577,0.460457853,
256,128,16,2,2,1.88901,454733,0.459604811,
64,64,64,2,4,1.8952,453246,0.45810188,
256,128,128,4,2,1.90528,450849,0.4556792,
128,256,16,2,1,1.90537,450827,0.455656964,
256,128,16,1,2,1.91173,449327,0.454140893,
128,256,128,1,16,1.92098,447163,0.451953709,
256,128,128,2,8,1.92115,447124,0.451914291,
256,128,128,4,4,1.9224,446833,0.451620174,
