headdim,batch_size,seqlen,dim,Total Time (seconds),arithmetic intensity,l2_hit_rate,Performance Bound,Base Ratio,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per.second,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum
32,2,4096,4096,0.30806,13.35808,49.8,memory bound,1,397398.57,1.29,4194304,160760000
32,2,4096,8192,0.562238,13.451264,50.04,memory bound,1,725287.29,1.29,8388608,319290000
32,2,4096,16384,1.01972,13.4272,50.04,memory bound,1,1325637.14,1.3,16777216,639740000
32,2,8192,512,0.070508,6.740992,50.2,memory bound,1,85315.57,1.21,524288,39820000
32,2,8192,1024,0.134446,6.596096,49.38,memory bound,1,168057.86,1.25,1048576,81390000
32,2,8192,2048,0.268324,6.391808,48.48,memory bound,1,338088.57,1.26,2097152,167980000
32,2,8192,4096,0.607607,13.12,49.2,memory bound,1,783814.29,1.29,8388608,327360000
32,2,8192,8192,1.111059,13.344768,50.17,memory bound,1,1444377.29,1.3,16777216,643690000
32,2,8192,16384,2.06104,13.215232,50.02,memory bound,1,2679352.57,1.3,33554432,1300000000
32,2,16384,512,0.130266,6.739968,50.19,memory bound,1,162832.86,1.25,1048576,79650000
32,2,16384,1024,0.257892,6.564352,49.5,memory bound,1,335260,1.3,2097152,163570000
32,2,16384,2048,0.519593,6.311424,48.16,memory bound,1,680666.86,1.31,4194304,340230000
32,2,16384,4096,1.21048,12.778496,48.28,memory bound,1,1573625.14,1.3,16777216,672210000
32,2,16384,8192,2.240306,13.215232,50.05,memory bound,1,2912398.43,1.3,33554432,1300000000
32,2,16384,16384,4.162107,13.114368,49.92,memory bound,1,5410739.86,1.3,67108864,2620000000
32,4,512,512,0.016082,6.990336,51.64,memory bound,1,17851.14,1.11,65536,4800000
32,4,512,1024,0.026904,13.275648,50.77,memory bound,1,31747.57,1.18,262144,10110000
32,4,512,2048,0.050184,13.495808,50.71,memory bound,1,57210.86,1.14,524288,19890000
32,4,512,4096,0.082114,13.57056,50.25,memory bound,1,101001.29,1.23,1048576,39560000
32,4,512,8192,0.144602,13.28384,50.14,memory bound,1,182199,1.26,2097152,80830000
32,4,512,16384,0.267945,13.18656,50.13,memory bound,1,342970.57,1.28,4194304,162850000
32,4,1024,512,0.025776,6.89664,50.72,memory bound,1,27838.43,1.08,131072,9730000
32,4,1024,1024,0.045498,13.262336,50.58,memory bound,1,55053.71,1.21,524288,20240000
32,4,1024,2048,0.085875,13.478912,50.2,memory bound,1,105627.29,1.23,1048576,39830000
32,4,1024,4096,0.149754,13.411328,50.21,memory bound,1,191685.86,1.28,2097152,80060000
32,4,1024,8192,0.27206,13.292544,50.09,memory bound,1,348237.14,1.28,4194304,161550000
32,4,1024,16384,0.515761,13.186048,50.19,memory bound,1,665332.43,1.29,8388608,325720000
32,4,2048,512,0.041471,6.840832,50.69,memory bound,1,47692,1.15,262144,19620000
32,4,2048,1024,0.081408,12.840448,48.67,memory bound,1,102574.29,1.26,1048576,41810000
32,4,2048,2048,0.158674,13.343232,49.68,memory bound,1,201516,1.27,2097152,80470000
32,4,2048,4096,0.285818,13.271552,49.59,memory bound,1,368705.43,1.29,4194304,161810000
32,4,2048,8192,0.528974,13.228032,50.05,memory bound,1,682377.57,1.29,8388608,324680000
32,4,2048,16384,1.008274,12.945408,48.89,memory bound,1,1330922.57,1.32,16777216,663550000
32,4,4096,512,0.070172,6.887936,50.17,memory bound,1,84908.29,1.21,524288,38970000
32,4,4096,1024,0.135826,6.572032,50.14,memory bound,1,169783.29,1.25,1048576,81690000
32,4,4096,2048,0.308942,13.138944,49.03,memory bound,1,395446.71,1.28,4194304,163440000
32,4,4096,4096,0.572957,12.916224,48.6,memory bound,1,744844.57,1.3,8388608,332520000
32,4,4096,8192,1.085386,12.688896,48.19,memory bound,1,1411002.86,1.3,16777216,676940000
32,4,4096,16384,2.083857,12.539904,47.87,memory bound,1,2709015.14,1.3,33554432,1370000000
32,4,8192,512,0.134154,6.567936,49.41,memory bound,1,170376.71,1.27,1048576,81740000
32,4,8192,1024,0.267019,6.400512,48.52,memory bound,1,341785.57,1.28,2097152,167750000
32,4,8192,2048,0.608635,12.888576,48.63,memory bound,1,797312.43,1.31,8388608,333230000
32,4,8192,4096,1.139001,12.791296,48.58,memory bound,1,1492091.57,1.31,16777216,671530000
32,4,8192,8192,2.149299,12.539904,48.12,memory bound,1,2815581.86,1.31,33554432,1370000000
32,4,8192,16384,4.180871,12.448768,47.85,memory bound,1,5476942,1.31,67108864,2760000000
32,4,16384,512,0.259152,6.57408,49.5,memory bound,1,334306.29,1.29,2097152,163320000
32,4,16384,1024,0.525962,6.367232,48.47,memory bound,1,667973,1.27,4194304,337270000
32,4,16384,2048,1.215088,12.677632,47.99,memory bound,1,1579615.57,1.3,16777216,677540000
32,4,16384,4096,2.279689,12.72576,48.45,memory bound,1,2986393,1.31,33554432,1350000000
32,4,16384,8192,4.33004,12.494336,47.99,memory bound,1,5672352.57,1.31,67108864,2750000000
32,4,16384,16384,8.446264,12.359168,47.75,memory bound,1,10980143.57,1.3,134217728,5560000000
