N,M,K,T,GEMM0 Time (ms),GEMM1 Time (ms),Total Time (ms)
256,1024,128,4096,0.0128634,0.0271082,.0399716
256,1024,128,8192,0.0130579,0.0513126,.0643705
256,1024,1024,128,0.0778157,0.0221994,.1000151
256,1024,1024,1024,0.0775635,0.0230518,.1006153
256,1024,1024,2048,0.077864,0.023135,.100999
256,1024,1024,4096,0.0780534,0.0269101,.1049635
256,1024,1024,8192,0.0776941,0.0509885,.1286826
256,1024,2048,128,0.15086,0.0221043,.1729643
256,1024,2048,1024,0.15076,0.0230278,.1737878
256,1024,2048,2048,0.151124,0.0230723,.1741963
256,1024,2048,4096,0.151068,0.0269402,.1780082
256,1024,2048,8192,0.151604,0.0515053,.2031093
256,1024,4096,128,0.296742,0.0222544,.3189964
256,1024,4096,1024,0.296103,0.0230051,.3191081
256,1024,4096,2048,0.295168,0.0228941,.3180621
256,1024,4096,4096,0.295178,0.0269258,.3221038
256,1024,4096,8192,0.296759,0.0510166,.3477756
256,1024,8192,128,0.592668,0.0222134,.6148814
256,1024,8192,1024,0.595571,0.023025,.618596
256,1024,8192,2048,0.595287,0.0231843,.6184713
256,1024,8192,4096,0.590206,0.0268832,.6170892
256,1024,8192,8192,0.595869,0.0514477,.6473167
256,2048,128,128,0.0132704,0.0221949,.0354653
256,2048,128,1024,0.0131082,0.0230038,.0361120
256,2048,128,2048,0.0132,0.0269139,.0401139
256,2048,128,4096,0.0131334,0.0511696,.0643030
256,2048,128,8192,0.0131027,0.123035,.1361377
256,2048,1024,128,0.0808602,0.0222003,.1030605
256,2048,1024,1024,0.0810285,0.0230467,.1040752
256,2048,1024,2048,0.0809069,0.0267862,.1076931
256,2048,1024,4096,0.0810138,0.0511318,.1321456
256,2048,1024,8192,0.0809088,0.123303,.2042118
256,2048,2048,128,0.157451,0.022439,.179890
256,2048,2048,1024,0.15706,0.0231866,.1802466
256,2048,2048,2048,0.157533,0.0267552,.1842882
256,2048,2048,4096,0.157453,0.0512064,.2086594
256,2048,2048,8192,0.157272,0.123585,.280857
256,2048,4096,128,0.30967,0.022176,.331846
256,2048,4096,1024,0.30926,0.0231491,.3324091
256,2048,4096,2048,0.310069,0.0268915,.3369605
256,2048,4096,4096,0.310078,0.0510547,.3611327
256,2048,4096,8192,0.310028,0.123025,.433053
256,2048,8192,128,1.01183,0.022439,1.034269
256,2048,8192,1024,1.01423,0.023304,1.037534
256,2048,8192,2048,1.01428,0.0270512,1.0413312
256,2048,8192,4096,1.01212,0.0513216,1.0634416
256,2048,8192,8192,1.01521,0.123019,1.138229
256,4096,128,128,0.0133254,0.0226275,.0359529
256,4096,128,1024,0.013431,0.0269267,.0403577
256,4096,128,2048,0.01332,0.0514387,.0647587
256,4096,128,4096,0.0132147,0.124385,.1375997
256,4096,128,8192,0.0133869,0.226498,.2398849
256,4096,1024,128,0.0791693,0.0228102,.1019795
256,4096,1024,1024,0.079079,0.0268022,.1058812
256,4096,1024,2048,0.0790829,0.0509558,.1300387
256,4096,1024,4096,0.0790586,0.123881,.2029396
256,4096,1024,8192,0.0793485,0.225051,.3043995
256,4096,2048,128,0.153811,0.0229411,.1767521
256,4096,2048,1024,0.152901,0.0269882,.1798892
256,4096,2048,2048,0.152703,0.0512509,.2039539
256,4096,2048,4096,0.152671,0.123934,.276605
256,4096,2048,8192,0.1529,0.225617,.378517
256,4096,4096,128,0.470848,0.0226246,.4934726
256,4096,4096,1024,0.470564,0.0271578,.4977218
256,4096,4096,2048,0.473364,0.0512787,.5246427
256,4096,4096,4096,0.470617,0.124428,.595045
256,4096,4096,8192,0.472399,0.225675,.698074
256,4096,8192,128,1.0885,0.0229437,1.1114437
256,4096,8192,1024,1.08686,0.0267725,1.1136325
256,4096,8192,2048,1.08603,0.0512032,1.1372332
256,4096,8192,4096,1.08932,0.124356,1.213676
256,4096,8192,8192,1.08389,0.225413,1.309303
256,8192,128,128,0.0132083,0.0230733,.0362816
256,8192,128,1024,0.013336,0.0512694,.0646054
256,8192,128,2048,0.0131926,0.125351,.1385436
256,8192,128,4096,0.0131594,0.24544,.2585994
256,8192,128,8192,0.0132778,0.425249,.4385268
