512 & 0 & 12288 & baseline & 689.44 & 0.59 & 344.01 & 345.43
512 & 0 & 12288 & rowsync & 689.44 & 0.59 & 344.01 & 345.43 & 630.50 & 0.69 & 8.55
1024 & 0 & 12288 & baseline & 2302.01 & 0.89 & 1189.83 & 1112.18
1024 & 0 & 12288 & rowsync & 2302.01 & 0.89 & 1189.83 & 1112.18 & 1279.20 & 0.90 & 44.43
